date,asr_count,filtered_count,filter_pct,has_gap,top_filter_reason
20260120,522,0,0.0,1,
20260121,805,41,5.1,0,unknown
20260122,762,65,8.5,0,unknown
20260123,580,49,8.4,0,unknown
20260124,71,1,1.4,0,unknown
20260125,59,6,10.2,0,unknown
20260126,236,12,5.1,0,unknown
20260127,1355,85,6.3,0,unknown
20260128,999,43,4.3,0,unknown
20260129,637,37,5.8,0,unknown
20260130,861,18,2.1,0,unknown
20260131,717,65,9.1,0,unknown
20260201,1026,89,8.7,0,unknown
20260202,129,8,6.2,0,unknown
20260203,128,6,4.7,0,unknown
20260207,213,11,5.2,0,unknown
20260208,733,30,4.1,0,unknown
20260209,96,15,15.6,0,unknown
20260210,473,23,4.9,0,unknown
20260212,279,16,5.7,0,unknown
20260213,118,8,6.8,0,unknown
20260214,117,16,13.7,0,unknown
20260224,111,4,3.6,0,unknown
20260225,589,22,3.7,0,unknown
20260226,30,0,0.0,1,
20260304,292,19,6.5,0,unknown
20260305,14,0,0.0,1,
20260311,83,0,0.0,1,
20260312,1260,9,0.7,0,unknown
20260313,892,0,0.0,1,
20260314,18,0,0.0,1,
20260315,504,0,0.0,1,
20260316,599,0,0.0,1,
20260317,1067,0,0.0,1,
20260318,549,0,0.0,1,
20260319,872,0,0.0,1,
20260320,2527,0,0.0,1,
20260321,1203,0,0.0,1,
20260322,1983,0,0.0,1,
20260323,2341,0,0.0,1,
20260324,1910,0,0.0,1,
20260328,931,0,0.0,1,
20260329,1529,97,6.3,0,blocklist_word
20260330,1696,137,8.1,0,pure_punctuation
20260331,1502,91,6.1,0,pure_punctuation
20260401,2015,150,7.4,0,pure_punctuation
20260402,983,91,9.3,0,pure_punctuation
20260403,921,61,6.6,0,pure_punctuation
20260404,149,0,0.0,1,
20260405,619,26,4.2,0,pure_punctuation
20260406,1431,102,7.1,0,pure_punctuation
20260407,627,214,34.1,0,pure_punctuation
20260408,1885,249,13.2,0,pure_punctuation
