language,fate,count
chinese,committed,17654
chinese,discarded,5172
chinese,filtered,120
chinese,mark_error,507
chinese,speech_overwrite,2624
chinese,unknown,9231
empty,committed,3
empty,discarded,2
empty,filtered,698
empty,unknown,516
english,committed,313
english,discarded,799
english,filtered,394
english,mark_error,50
english,speech_overwrite,334
english,unknown,1591
mixed,committed,53
mixed,discarded,25
mixed,mark_error,7
mixed,speech_overwrite,16
mixed,unknown,38
punct_only,committed,35
punct_only,discarded,78
punct_only,filtered,698
punct_only,mark_error,2
punct_only,speech_overwrite,26
punct_only,unknown,1003
