text,repr,count,char_count
.,'.',879,1
。,'。',55,1
喂,'喂',19,1
我,'我',14,1
哎,'哎',14,1
好,'好',14,1
嘿,'嘿',13,1
对,'对',9,1
Y,'Y',7,1
え,'え',6,1
嘻,'嘻',6,1
O,'O',5,1
为,'为',5,1
あ,'あ',4,1
咳,'咳',4,1
F,'F',3,1
唉,'唉',3,1
是,'是',2,1
烦,'烦',2,1
上,'上',2,1
吼,'吼',2,1
嘘,'嘘',2,1
🎼,'🎼',2,1
蛋,'蛋',2,1
P,'P',2,1
然,'然',2,1
う,'う',2,1
8,'8',2,1
や,'や',2,1
し,'し',2,1
..,'..',2,2
器,'器',1,1
い,'い',1,1
手,'手',1,1
生,'生',1,1
ど,'ど',1,1
お,'お',1,1
用,'用',1,1
讲,'讲',1,1
G,'G',1,1
녕,'녕',1,1
せ,'せ',1,1
ち,'ち',1,1
呀,'呀',1,1
咦,'咦',1,1
卟,'卟',1,1
管,'管',1,1
꺼,'꺼',1,1
ん,'ん',1,1
你,'你',1,1
药,'药',1,1
앗,'앗',1,1
悟,'悟',1,1
下,'下',1,1
也,'也',1,1
快,'快',1,1
靠,'靠',1,1
理,'理',1,1
钱,'钱',1,1
所,'所',1,1
有,'有',1,1
拜,'拜',1,1
吃,'吃',1,1
嗯,'嗯',1,1
그,'그',1,1
I,'I',1,1
完,'完',1,1
谢,'谢',1,1
一,'一',1,1
か,'か',1,1
哦,'哦',1,1
じ,'じ',1,1
和,'和',1,1
子,'子',1,1
2,'2',1,1
ふ,'ふ',1,1
心,'心',1,1
3,'3',1,1
T,'T',1,1
放,'放',1,1
